model,0,1,2,3,4,5,6,7,8,9,10,11
linear_regression/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,30.730020838854973,29.72978894652405,31.20600481979152,10.45759248371754,178446.38257868466,191290.39106363992,234242.1761276576,181022.54434832133,154550.57415220773,188819.61482053765,204472.7247467692,173000.39432881505
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,22.57843119599622,22.07903378135036,17.46018051751968,7.458140107244144,126852.8272213846,139620.5227035142,147616.81186180864,134012.9427070145,122306.82433413676,136731.67549078504,159255.52094763613,131202.1575669702
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,23.17844653162961,22.083220101243622,17.165530279150428,7.603630249832892,126500.09431151923,139213.14060742708,153948.1840081793,132542.65110514296,121086.57480373528,138752.5129373954,159959.72082443954,131808.13785384467
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,22.93115657706156,22.21305010475526,17.118576058584058,7.565803988062437,126764.78370300533,138170.1715336611,148745.0827752878,133197.0748888422,120582.16817096788,139485.44046301066,159139.9884580808,131096.26816933122
