model,0,1,2,3,4,5,6,7,8,9,10,11
linear_regression/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,1.4841689,1.7174374,3.2395706,1.7299261,1.9304216,1.8243883,1.9760125,1.8225701,1.5978197,1.7816063,1.5827501,1.7221518
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8012077808380127,0.947234272956848,1.014164924621582,0.8798836469650269,0.975521683692932,0.971917688846588,0.7847496867179871,0.998878002166748,1.000663161277771,0.9342343211174012,0.9601311087608336,0.9905107617378236
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8443573117256165,0.9475935101509094,0.9802244901657104,0.9145472049713135,0.9701040983200073,0.9662542939186096,0.8535100817680359,0.9770802855491638,0.9807956218719482,0.9620535969734192,0.9686409831047058,0.9996816515922546
