model,0,1,2,3,4,5,6,7,8,9,10,11
linear_regression/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,1.2182647,1.3105104,1.7998807,1.3152666,1.3893961,1.3506992,1.4057071,1.350026,1.2640489,1.3347683,1.2580739,1.3123078
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8951020836830139,0.9732596278190612,1.007057547569275,0.9380211234092712,0.9876850247383118,0.9858588576316832,0.8858609795570374,0.9994388222694396,1.0003315210342407,0.9665579795837402,0.9798628091812134,0.9952440857887268
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.9188891649246216,0.973444163799286,0.9900628924369812,0.9563196301460266,0.984938621520996,0.982982337474823,0.9238560795783995,0.9884737133979796,0.9903512597084044,0.9808433055877686,0.984195590019226,0.9998407959938048
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.9090855717658997,0.9791671633720398,0.9873546957969666,0.9515621662139893,0.98699951171875,0.9756179451942444,0.8926318287849426,0.9933542609214783,0.9862257838249207,0.9860243797302246,0.9791519641876221,0.9944408535957336
