model,0,1,2,3,4,5,6,7,8,9,10,11
linear_regression/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,3.4355838298797607,4.937187194824219,3.5810587406158447,2.720257043838501,4.5387396812438965,4.962453365325928,2.977233648300171,4.332120418548584,4.917145252227783,4.827877044677734,5.218712329864502,3.0918428897857666
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.933182954788208,0.9872618913650512,1.0464558601379397,0.9924609065055848,0.9903537034988404,1.023820161819458,0.8773317933082581,1.0218753814697266,1.0313150882720947,0.9886428117752076,0.9961518049240112,1.04647958278656
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.9428194165229796,0.9794516563415528,0.9925394654273988,0.9770483374595642,0.9841249585151672,0.9846824407577516,0.9330750703811646,1.003767728805542,0.98908931016922,0.9907426238059998,0.9807031154632568,1.0024735927581787
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.9083367586135864,0.9868252873420716,0.988381564617157,0.9560571908950806,0.9874492883682252,0.9748306274414062,0.905198574066162,0.9988616108894348,0.9911347031593324,0.9851014614105223,0.98490172624588,1.0011364221572876
cnn3d/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,1.003626585006714,1.100081443786621,1.1531567573547363,1.0281665325164795,1.0616257190704346,1.1341636180877686,0.944735050201416,1.1101956367492676,1.101302146911621,1.1027469635009766,1.0673056840896606,1.0996052026748655
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=4_crit=MSELoss,1.0355510711669922,1.0604400634765625,1.1497188806533811,1.0507287979125977,1.0353844165802002,1.1387311220169067,0.9665759801864624,1.0799158811569214,1.1008946895599363,1.092215657234192,1.015753149986267,1.0757014751434326
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,1.0002720355987549,1.035710096359253,1.0439505577087402,1.035417556762695,1.0083736181259155,1.0499391555786133,0.9687350988388062,1.0376123189926147,1.0308866500854492,1.0522594451904297,1.001689076423645,1.0109554529190063
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.9881255626678468,1.0210298299789429,1.0610564947128296,1.0101215839385986,1.0186585187911987,1.042163610458374,0.9582542181015016,1.024537444114685,1.046988010406494,1.022686243057251,0.9921471476554872,1.0494226217269895
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,0.945373237133026,0.9939639568328856,1.0217841863632202,0.9736482501029968,0.9874574542045592,1.000011920928955,0.9185501337051392,1.0206396579742432,1.0191770792007446,0.9997966289520264,0.9908260703086852,1.0167111158370972
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=8_crit=MSELoss,0.9352285265922546,0.9930371642112732,1.0220564603805542,0.9767369627952576,0.9821422696113586,0.9940460324287416,0.9034204483032228,1.0181152820587158,1.0017892122268677,0.9864854216575624,0.9911153316497804,1.00685453414917
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,0.9343494176864624,0.98946875333786,0.9923102855682372,0.9740161895751952,0.9876366257667542,0.980213224887848,0.923033893108368,0.9975301027297974,0.9823608994483948,0.9896581172943116,0.9791865944862366,0.9935625195503236
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=4_crit=MSELoss,1.0079132318496704,1.0497900247573853,1.074481725692749,1.038588285446167,1.03393816947937,1.0524975061416626,0.9357768893241882,1.0718261003494265,1.0420091152191162,1.0339349508285522,1.027694821357727,1.038213849067688
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=8_crit=MSELoss,0.9858471751213074,1.019885778427124,1.0667444467544556,1.0237880945205688,1.018754959106445,1.0469084978103638,0.9069639444351196,1.0140701532363892,1.0406076908111572,1.0089263916015625,1.0189247131347656,1.034982681274414
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,0.9394834637641908,1.005672812461853,1.0300571918487549,0.97932630777359,0.9956801533699036,1.0300788879394531,0.8894908428192139,1.0197633504867554,1.0145692825317385,1.010561227798462,0.996411919593811,1.0133159160614014
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9503292441368104,1.002880573272705,1.0372999906539917,0.98838871717453,1.0145721435546875,1.0332969427108765,0.9094833731651306,1.0270545482635498,1.036537766456604,1.0047646760940552,0.9870867729187012,1.0242242813110352
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9430463314056396,0.989151656627655,0.9907598495483398,0.966480016708374,1.0000711679458618,0.9855297207832336,0.9519668221473694,1.001312494277954,0.9959295392036438,0.9925507307052612,0.9905723929405212,1.0004031658172607
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9352577328681946,0.978373408317566,0.9940987229347228,0.9674680233001708,0.9888577461242676,0.9843464493751526,0.9207677245140076,0.9973769783973694,0.9913881421089172,0.9810231924057008,0.9740551710128784,0.9996468424797058
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9513079524040222,0.9979948401451112,0.9948127269744872,0.980976939201355,1.0041652917861938,0.9934374690055848,0.930391788482666,1.0008280277252195,0.9914760589599608,0.992747962474823,0.9835118055343628,1.0019352436065674
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9219179153442384,0.9982635378837584,0.9981341361999512,0.9660284519195556,0.9961164593696594,0.981387972831726,0.9106176495552064,1.0134104490280151,1.00795578956604,1.0017355680465698,0.9966617226600648,1.0078506469726562
cnn3d_big_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9532893300056458,1.0011934041976929,1.04561448097229,0.9932969212532043,0.9920515418052672,1.0238858461380005,0.9488133788108826,1.0379667282104492,1.0387883186340332,1.0337787866592407,0.9994906187057496,1.0387184619903564
cnn3d_huge_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9695990681648254,1.044838547706604,1.0739128589630127,0.9898361563682556,1.0479261875152588,1.050475001335144,0.938865602016449,1.0476982593536377,1.051386833190918,1.012121081352234,1.018949270248413,1.0424553155899048
