Cluster,Avg Category,Avg Max Wind Prob,Avg Max Hail Prob,Avg Max Tornado Prob,Avg Wind Reports,Avg Hail Reports,Avg Tor Reports,Avg Max Wind Speed,Avg Max Hail Size,Avg Max Tor Rating,Frac Wind 56,Frac Wind 65,Frac Wind 74,Frac Wind 83,Frac Hail 1.5,Frac Hail 2,Frac Hail 3.5,Frac Tor 1,Frac Tor 2,Frac Tor 3,Frac Tor 4,Frac Tor 5
0,2.2869198312236287,0.19873417721518982,0.10548523206751056,0.053881856540084386,73.3211009174312,35.74698795180723,12.223529411764705,68.35321100917432,1.7789156626506022,1.3411764705882352,0.178490990990991,0.04448198198198198,0.011761761761761762,0.0032532532532532532,0.1983485001685204,0.03656892483990563,0.0025278058645096056,0.5890279114533205,0.15062560153994226,0.03128007699711261,0.0014436958614051972,0.0
1,2.3028169014084505,0.2130281690140845,0.14982394366197183,0.039859154929577464,116.29818181818182,67.8923076923077,8.311004784688995,73.21167883211679,2.2312692307692306,1.138755980861244,0.20946157213432556,0.05634419360890501,0.012850978675504972,0.004565067850665999,0.2276229322456379,0.04854973940629957,0.0036823022886924993,0.5284974093264249,0.1421991940126655,0.029936672423719057,0.004029936672423719,0.0
2,2.0671785028790786,0.1617082533589251,0.16679462571976966,0.02758157389635317,58.33069306930693,56.0587084148728,4.919689119170984,71.16184523809524,2.435244618395303,0.6113989637305699,0.2635706283735615,0.06290525172285026,0.013782802050446413,0.003768204501476729,0.23539063045451372,0.05752984709907143,0.004887244292396844,0.2222222222222222,0.040021063717746184,0.00842548709847288,0.00105318588730911,0.0
3,2.619047619047619,0.23846153846153845,0.1765567765567765,0.0776923076923077,85.5719696969697,70.74137931034483,21.58590308370044,71.43181818181819,2.217241379310345,1.8898678414096917,0.3180470098711876,0.08012040192997211,0.017706166172369527,0.005223319020849011,0.2202047282476237,0.050024372410431395,0.003960516695101146,0.6044897959183674,0.2126530612244898,0.06795918367346938,0.015918367346938776,0.0022448979591836735
4,2.2661870503597124,0.17230215827338127,0.17949640287769783,0.04347721822541967,38.356770833333336,55.494623655913976,8.218068535825545,68.73560209424083,2.3439247311827955,0.956386292834891,0.31353112906510966,0.08099667322968294,0.018466969923280604,0.006110394459909023,0.2291222631273009,0.05652974229800426,0.0031970548343344314,0.36542835481425323,0.07884761182714177,0.013267626990144048,0.0018953752843062926,0.0
5,2.093577981651376,0.18357798165137612,0.17697247706422017,0.026752293577981652,107.50373134328358,72.68333333333334,5.0,73.30841121495327,2.48437037037037,0.7089552238805971,0.25866856409010447,0.05956058449897608,0.012321682690638993,0.003175870327305543,0.21572524140742438,0.05238350021656603,0.00343957807842238,0.33930348258706466,0.06119402985074627,0.007462686567164179,0.001990049751243781,0.0
6,2.237704918032787,0.20358606557377046,0.19487704918032786,0.03764344262295083,85.12043010752689,71.10615711252655,7.038674033149171,72.88681034482758,2.4233970276008496,1.0662983425414365,0.3004471842550719,0.07536444253555999,0.01604305095879336,0.004876076905586013,0.2132513212504852,0.05046131796602072,0.003702487235376668,0.42543171114599687,0.10478806907378337,0.02629513343799058,0.004709576138147566,0.0003924646781789639
7,2.49402390438247,0.199203187250996,0.22908366533864538,0.06254980079681276,47.352422907488986,72.21030042918454,14.826315789473684,71.35185840707965,2.488111587982832,1.431578947368421,0.39631593636617357,0.11089403665457252,0.027351381523862683,0.006977393245883338,0.2414264487369985,0.061693907875185736,0.004635958395245171,0.43201987930422436,0.12637557685481007,0.03372381966631168,0.004969826056088037,0.0003549875754348598
8,2.3618090452261304,0.19547738693467331,0.2246231155778894,0.05115577889447237,68.60277777777777,77.08510638297872,11.236486486486486,72.64166666666667,2.7100265957446807,1.0945945945945945,0.32198242701542695,0.08523302425395797,0.019314086731181925,0.006114102927481071,0.26618134142975436,0.06983163124482474,0.006555340877725642,0.3734215273601924,0.1169573060733614,0.03788334335538184,0.00751653638003608,0.0003006614552014432
