model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_3_layer/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss/fold=4,24.15837941573362,22.994468089251324,18.490587766936937,7.851617206924696,128986.8088873169,149779.11779227565,156080.8897691735,140440.29346459254,128103.01871309229,149034.29116424074,168567.88910332494,137844.65857022916
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss/fold=4,22.91236141590192,22.3869162452062,17.136374556269036,7.601561148527534,126823.40793252872,138059.00670101767,150838.58570083446,133935.34567084129,121182.1813373163,139354.78097958912,160075.35018846206,131979.1434163868
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss/fold=4,23.591364239470924,22.19500133281232,17.235516208356703,7.692278397742913,127003.31496021598,139406.24613643845,153432.9651880192,133736.47379411882,121213.51089657116,138777.68192023053,158310.89801819273,131782.8520062933
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss/fold=4,23.78204168317541,22.21945263211141,17.208464517367933,7.76844511617991,126395.1861838895,139454.0413587353,155483.82869816772,134593.25408815587,120932.33921590784,140152.64195137302,159392.1236338025,132155.20143386227
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss/fold=4,23.787839150692545,22.439546777895373,17.177597460098433,7.684420931035894,128443.55871443918,139573.81642217044,158632.78875795205,134264.13204164096,121768.63220783469,140408.69946250788,160996.30668557412,131882.32172169196
raw_outlook,33.45421265710691,25.206474908747296,19.176144976878128,8.992497280774062,129710.5087409126,145131.00536663938,181523.9685949064,135377.32339034905,122593.94230164046,141850.63711595576,163626.28991724664,132587.33190913335
predict_zero,25.22442032879013,22.685656684256365,17.337818041941247,7.950929804370788,128434.49484818746,141623.2370614622,166636.5437335578,134088.190013181,122266.2904870617,141462.4661726658,162528.38607142586,131829.12557876998
