model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_3_layer/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss/fold=4,0.95773774,1.0136126,1.0664887,0.9875093,1.0043004,1.0575886,0.9366546,1.0473726,1.0477378,1.0535253,1.0371597,1.0456313
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss/fold=4,0.9083404541015624,0.9868313074111938,0.9883812665939332,0.9560593962669371,0.98745596408844,0.9748330116271972,0.9051951169967652,0.9988601207733154,0.9911332130432128,0.9851007461547852,0.9849070310592652,1.0011379718780518
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss/fold=4,0.93525892496109,0.978371560573578,0.994099497795105,0.967469036579132,0.9888567328453064,0.9843458533287048,0.9207642078399658,0.9973769783973694,0.9913894534111024,0.9810212254524232,0.974050760269165,0.9996489882469176
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss/fold=4,0.9428181648254396,0.9794493913650512,0.9925392270088196,0.977048635482788,0.984121799468994,0.9846833348274232,0.9330716133117676,1.003766655921936,0.9890897870063782,0.9907408356666564,0.9807032942771912,1.0024734735488892
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss/fold=4,0.9430480003356934,0.9891512989997864,0.9907588958740234,0.9664807915687561,1.000070571899414,0.9855290651321411,0.951968789100647,1.0013121366500854,0.9959297180175781,0.9925509095191956,0.9905734658241272,1.0004035234451294
