model,0,1,2,3,4,5,6,7,8
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=ShashNLL,1.3002632,1.4280707,1.4236494,1.3949698,1.3636892,1.3728138,1.2975434,1.4249357,1.4546378
cnn3d_gelu_0_5/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=ShashNLL,1.1271830797195437,1.3634872436523438,1.3395711183547974,1.2679630517959597,1.3086453676223757,1.311667799949646,0.9640529751777648,0.9118489027023317,0.8545523881912231
cnn3d_3_layer/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=ShashNLL,1.3094029426574707,1.3686127662658691,1.393579125404358,1.3625959157943726,1.3684004545211792,1.3758671283721924,1.289029836654663,1.4487507343292236,1.4297552108764648
