model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8708304166793823,0.9746860265731812,1.0950698852539062,0.9849786162376404,0.9808005094528198,1.0482077598571775,0.7697110772132874,1.0442293882369995,1.0636109113693235,0.977414608001709,0.9923183917999268,1.0951194763183594
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8889085054397583,0.9593254923820496,0.9851345419883728,0.9546234607696532,0.9685019850730896,0.9695995450019836,0.870629072189331,1.0075496435165403,0.9782977104187012,0.9815709590911864,0.9617785811424256,1.0049532651901243
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.825075626373291,0.9738242030143738,0.9768980741500854,0.9140453338623048,0.9750561118125916,0.95029479265213,0.8193844556808472,0.9977245330810548,0.9823479652404784,0.9704248905181884,0.9700313806533812,1.0022741556167605
cnn3d/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,1.007266402244568,1.2101792097091677,1.3297704458236694,1.057126522064209,1.1270490884780884,1.2863271236419678,0.8925243616104126,1.232534408569336,1.2128665447235107,1.2160507440567017,1.1391414403915403,1.2091315984725952
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=4_crit=MSELoss,1.0723659992218018,1.1245331764221191,1.3218533992767334,1.1040310859680176,1.0720208883285522,1.296708583831787,0.9342690706253052,1.166218400001526,1.211969017982483,1.1929349899291992,1.0317543745040894,1.15713369846344
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,1.0005440711975098,1.07269549369812,1.0898326635360718,1.0720895528793335,1.016817331314087,1.102372169494629,0.9384477138519288,1.0766394138336182,1.0627272129058838,1.1072499752044678,1.0033810138702393,1.0220309495925903
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.976392149925232,1.0425019264221191,1.1258407831192017,1.020345687866211,1.0376652479171753,1.0861051082611084,0.9182511568069458,1.0496768951416016,1.096184015274048,1.0458872318267822,0.9843559861183168,1.101287841796875
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,0.8937305212020874,0.9879643321037292,1.0440428256988523,0.9479909539222716,0.9750722646713256,1.0000239610671997,0.8437343835830688,1.0417053699493408,1.038722038269043,0.9995933175086976,0.9817362427711488,1.0337015390396118
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=8_crit=MSELoss,0.8746523857116699,0.9861227869987488,1.0445994138717651,0.9540151357650756,0.9646034836769104,0.9881274700164796,0.8161685466766357,1.0365586280822754,1.0035816431045532,0.9731535315513612,0.982309639453888,1.0137560367584229
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,0.8730088472366333,0.9790483713150024,0.9846796989440918,0.9487075805664062,0.9754260778427124,0.9608179926872252,0.851991593837738,0.9950663447380066,0.9650329351425172,0.97942316532135,0.958806335926056,0.9871665239334106
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=4_crit=MSELoss,1.015889048576355,1.102059006690979,1.1545108556747437,1.0786657333374023,1.06902813911438,1.1077508926391602,0.8756783604621887,1.148811101913452,1.0857830047607422,1.0690215826034546,1.0561566352844238,1.0778878927230835
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=8_crit=MSELoss,0.97189462184906,1.040166974067688,1.1379436254501345,1.0481420755386353,1.037861704826355,1.096017360687256,0.8225835561752319,1.0283381938934326,1.0828644037246704,1.0179325342178345,1.0382075309753418,1.0711891651153564
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,0.8826292157173157,1.0113776922225952,1.0610178709030151,0.9590799808502196,0.9913789629936218,1.0610624551773071,0.791193962097168,1.0399173498153689,1.029350757598877,1.0212340354919434,0.9928367137908936,1.0268090963363647
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9031257033348083,1.0057694911956787,1.07599139213562,0.976912260055542,1.0293567180633545,1.0677026510238647,0.8271600008010864,1.054841160774231,1.0744104385375977,1.0095521211624146,0.974340319633484,1.0490354299545288
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.889336347579956,0.9784210324287416,0.981605052947998,0.9340835809707642,1.0001424551010132,0.9712688326835632,0.9062408208847046,1.002626657485962,0.9918755888938904,0.9851569533348083,0.9812337160110474,1.000806450843811
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.874707043170929,0.9572144746780396,0.9882322549819946,0.9359943270683287,0.9778396487236024,0.968937873840332,0.8478132486343384,0.994760811328888,0.9828504920005798,0.9624064564704896,0.94878351688385,0.9992938041687012
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.90498685836792,0.995993673801422,0.9896523356437684,0.9623157382011414,1.008347988128662,0.9869179725646972,0.8656288981437683,1.0016566514968872,0.9830247759819032,0.9855485558509828,0.967295467853546,1.0038743019104004
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8499326705932617,0.9965301156044006,0.996271789073944,0.9332109689712524,0.992247998714447,0.9631223678588868,0.8292245268821716,1.0270007848739624,1.015974760055542,1.0034741163253784,0.9933345913887024,1.0157629251480105
