model,mean_latest_train_loss,std_latest_train_loss,mean_latest_val_loss,std_latest_val_loss,mean_best_train_loss,std_best_train_loss,mean_best_val_loss,std_best_val_loss,avg_best_epoch
cnn3d_big_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8803811979644438,0.0293477578048985,0.9886701391802896,0.1553639118751181,0.933681146712864,0.0547440054605105,0.9579563207096524,0.1608504580191161,19
cnn3d_huge_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8882984668016434,0.0427084211886343,0.9955885443422532,0.1601551743308575,0.8902041889288845,0.0399319332552547,0.9606071061558192,0.1611204717878547,36
cnn3d_3_layer/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.859034728302675,0.0401822121734407,0.996137644847234,0.1563370878297442,0.9183034265742582,0.0513824744132325,0.955875086784363,0.1669385567239624,16
cnn3d_3_layer_big/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8472924250013687,0.0385417414270659,0.9971537278758156,0.1554781590727825,0.9130419226253734,0.0543280903581279,0.9546029170354208,0.1660056178462431,19
cnn3d_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9275094737024868,0.0448628805664425,0.9869527724054123,0.1698553438866682,0.9423133825554568,0.0294778112209628,0.975784577263726,0.1739354569652747,36
cnn3d_3_layer_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9359737776658116,0.0239624684605728,0.9885079940160114,0.1699340979197915,0.9494576648754232,0.040441906407392,0.967711657947964,0.1690271538039641,34
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9062631818111876,0.035009009836782,0.8974798868908438,0.1269251318289298,0.9076713733505783,0.036232295122974,0.8937351645425309,0.1307136046263609,48
cnn3d_gelu_0_5/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.812951352416772,0.0294229806073111,0.8941398910658306,0.1285821205272472,0.8476245170099694,0.03490893922084,0.876683343877626,0.1293235218489297,33
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8614061962268507,0.0332750904706867,0.8860321203290031,0.1268739709423249,0.8727780979279188,0.0356399179707787,0.8792518875280091,0.126034928177291,43
cnn3d_fewer_channels/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9263328255442848,0.0331893528280539,0.9237222233483958,0.1201225535096595,0.9290672176936912,0.0299375337074572,0.9130778187236122,0.1291703918840897,42
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8237234087715372,0.0328752837444221,0.8947166751290476,0.1327202271532727,0.8579525223252368,0.0430052384007377,0.8829319360297779,0.1302215296760959,37
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,0.9372397813798744,0.0327075409602584,0.9249933916574332,0.1327775887799883,0.9388613062669382,0.0338483835188817,0.920924992554369,0.1326487938181592,46
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,0.9231754898331884,0.034988876917556,0.9224558372389188,0.123697464569203,0.9244821740444318,0.0332960336019836,0.9201398670673372,0.1245775117046948,47
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=4_crit=MSELoss,0.9397367221108294,0.0325704699663118,0.9058228983865148,0.1290924977236418,0.9417379616469276,0.0287216806699457,0.8912474238384537,0.1321065768471358,45
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8837117949197459,0.0349213954739915,0.8846516652540727,0.1236945315375074,0.8881806526073189,0.0365139500897305,0.8789095718752253,0.1275966052958473,43
cnn3d_3_layer_fewer_channels/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8966388481994008,0.0332956717762759,0.9013541218909348,0.1322405180382511,0.907064720364504,0.0289123901551038,0.8934042887254195,0.131511578226256,37
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8069031244100527,0.0328552007229521,0.8931773914532227,0.1293358532048296,0.8355953029421872,0.0457098733041392,0.8709495549852198,0.1278321316651839,37
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8357758002225744,0.0334238389210439,0.8778641118244692,0.1309953648370895,0.8441864218822746,0.0337290954630422,0.8690827879038725,0.1259636883085774,45
cnn3d_3_layer_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.7211678097414416,0.0348262762369159,0.906931961666454,0.1175190122701343,0.8171052338078966,0.0505200942505664,0.8676852814175866,0.1226565447133132,29
cnn3d_3_layer_fewer_channels_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8464010474293732,0.0357469672279725,0.8964225194670938,0.1357897346836766,0.8657684109931768,0.0236367937536173,0.8830317974090576,0.1279641104193575,39
cnn3d_3_layer_fewer_channels/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.8947655339573706,0.03341454853408,0.9113613800569016,0.1366748653167707,0.9010767506998638,0.0379323169008951,0.9009058107029309,0.1321864423076428,44
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.8278037952822309,0.0339247583433006,0.8925345128232782,0.1292592729431861,0.8491480899411579,0.0332210275344909,0.8782013643871653,0.1275108622792838,41
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.8366589457489724,0.0330567200853911,0.8845128590410406,0.1328911185663314,0.8543207279471463,0.0375568913742537,0.8708122491836547,0.1363105121677228,42
cnn3d_3_layer_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.7428905531417491,0.0232280175349797,0.9051645452325994,0.1283002341695155,0.8454534555590432,0.0374890523950461,0.8720517646182667,0.1327931125546672,25
cnn3d_3_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.7058143377304078,0.025507109258251,0.932110531763597,0.1154010555405132,0.820476334039555,0.0323672154515053,0.8822217724540018,0.1283817074015711,29
cnn3d_3_layer_fewer_channels_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.8416374860807906,0.0383532554402966,0.8984648628668352,0.1329791207993162,0.8622850143632224,0.0361321727582659,0.8853998021645978,0.1338688151202149,40
cnn3d_4_layer/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8350678436977919,0.0325998752266364,0.8923063587058675,0.1272192931637156,0.841900086125662,0.0365635066489774,0.8728670160878789,0.1254197411928605,45
cnn3d_3_layer_big_0/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.0599088141044905,0.0036613627425923,1.0864134723489935,0.118192791737121,0.8734292920245681,0.0469836676035736,0.8993771171027964,0.1214351050298155,7
cnn3d_3_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.2684472839499628,0.0101180460516608,0.9656049934300508,0.1184565258456967,0.8448384264180827,0.0370328732330129,0.8794695469466124,0.1247117469559989,21
cnn3d_4_layer_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.6884626265875129,0.0371907590141593,0.9242981455542824,0.1203369402235363,0.8458077725282933,0.0507662756038434,0.8741973600604318,0.1266636928033398,21
cnn3d_4_layer_big/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.8253307982932689,0.0382647908496387,0.8918702865188773,0.1278932360443805,0.856417015680047,0.0473176343375361,0.8750288096341219,0.1260389102723647,35
cnn3d_4_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.6697288649026737,0.0236801405759851,0.9540405349297958,0.1168175708142512,0.8362279530181441,0.0567405965543449,0.8835429164496336,0.1259271828467462,22
predict_mean/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.9987269194143976,0.0287275212245934,0.996260654812738,0.1081086813529355,0.9993798438076912,0.0268535716908148,0.996260654812738,0.1081086813529355,0
predict_mean/level=small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.9990912537169024,0.0326276413013862,1.007324293572565,0.1301853942986609,0.9990912532231894,0.0326276428254841,1.007324293572565,0.1301853942986609,0
predict_zero/level=small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,1.0000000343355069,0.03257028868167536,0.9991428115543705,0.12970227595801184,1.0000000424144497,0.032570298486430796,0.9991428115543705,0.12970227595801184,0
