model,0,1,2,3,4,5,6,7,8
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9710724,0.94385123,0.9784435,0.9311499,0.9766529,1.009832,0.98030126,0.9709045,0.99329424
cnn3d_gelu_0_5/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.944901406764984,0.9839909076690674,0.9906129240989684,0.9371556043624878,0.9870479702949524,0.98276549577713,0.9796602725982666,0.9970299005508424,1.0101361274719238
cnn3d_huge_kernal/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9599232077598572,0.9933412075042723,0.9815554618835448,0.9601904153823853,0.992830216884613,0.9833238124847412,0.9873702526092528,0.998398780822754,1.006612777709961
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8290714025497437,0.9914520978927612,0.9683820009231568,0.9300296902656556,0.9800171852111816,1.000077724456787,0.9032508730888368,0.983453094959259,0.9950293302536012
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.8179522156715393,0.9914986491203308,0.9712720513343812,0.9369369745254515,0.9787471890449524,1.0008339881896973,0.8930217623710632,0.9845988154411316,0.9977418184280396
cnn3d_4_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8314289450645447,0.9952605962753296,0.966066300868988,0.9350009560585022,0.977125883102417,0.9964748620986938,0.9137329459190368,0.9848219752311708,0.9983059167861938
cnn3d_gelu_0_5/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8163628578186035,0.9947260022163392,0.9722471833229064,0.9385243058204652,0.9798470735549928,0.9978671669960022,0.884852945804596,0.984054684638977,0.9986578226089478
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,0.9571624398231506,0.9860690236091614,0.9753324389457704,0.9486685991287231,0.9862661361694336,0.9679569005966188,0.974616527557373,0.9746243953704834,1.0048214197158811
cnn3d_3_layer_big/level=slgt_small_glade_new/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.7994072437286377,0.9907351732254028,0.9650875329971312,0.9252266883850098,0.9786900281906128,0.9964691996574402,0.8953485488891602,0.9848927855491638,0.9979735016822816
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.8013700842857361,0.9908007383346558,0.9732829332351683,0.9233824610710144,0.978831946849823,0.9947088956832886,0.8648543953895569,0.9815047979354858,0.9967955946922302
cnn3d_dropout_5_5/level=small_glade_new/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9635860919952391,0.9773913025856018,0.977413296699524,0.9517662525177002,0.9904996156692504,0.9859154224395752,0.9808459877967834,0.9906920194625854,1.0065326690673828
cnn3d_huge_kernal/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9688629508018494,0.9855599999427797,0.9832856059074402,0.915153980255127,0.9802557826042176,0.9927456974983216,0.978330671787262,0.9893796443939208,1.0079200267791748
cnn3d_3_layer/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.962432861328125,0.965060830116272,0.9855535626411438,0.9045191407203674,0.9882411956787108,0.9996808767318726,0.9617234468460084,0.9878942370414734,0.9898059368133544
raw_outlook_slgt_new,1.111368152101779,1.0096712555435132,1.0088453344618962,1.142856166572602,1.0364560595909316,1.00051357556365,1.0557871562029255,1.00101218704775,1.0021110074786068
predict_zero_slgt_new,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_outlook_new,1.0711956536499423,1.0247683104690997,1.0027439854103504,1.1896308198496508,1.089340696391019,1.006755151345306,1.080579420954924,1.0096140709859778,1.0057514325990906
predict_zero_new,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,0.9999999999999999
