model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.714628081377462,22.498996306457204,17.471339327134867,7.670957081268318,128348.9469551444,141297.96448979777,156231.4834836544,135101.09947619986,123025.458397436,140019.41919465773,158789.8647588095,132228.3716676716
cnn3d_3_layer_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,25.0142065020676,22.724125935213564,17.808372993800813,7.98721537710237,129704.0026150693,143608.8406960623,156536.85241596642,134597.0584129286,122760.90253326517,145220.98368512618,162324.29094397725,134401.90163491087
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,16.273230916458907,17.550820384775268,11.37250271349776,3.3326891209792766,138407.1183063301,150821.73301833964,147538.23849695982,100570.5269421226,130640.31717117748,134969.79135558548,144062.3147679157,96603.67786085657
cnn3d_gelu_0_5/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,15.826650097992346,17.676020807358075,11.471476659327218,3.268770357531024,139106.4176363912,152266.07816580514,146064.4611410013,100298.09125514056,131415.8131197935,128365.58793900296,144054.47141869125,96975.95993830293
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,15.392394779595683,17.527641988382737,11.30746190282836,3.207181035073236,138498.14944042164,149233.84041615453,144174.75773754716,99633.73692264776,130516.826042916,130059.12467265045,143497.96546941862,96394.58389739564
cnn3d_fewer_channels/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,16.35234437350095,17.571051178535935,11.369555038216989,3.350069398673421,138632.17787073617,150938.66867225154,154285.51951037836,101013.51667573878,130566.1430887167,138665.46558890806,144360.52634234255,96715.45188485274
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,15.81138174625741,17.657324916040093,11.45742324283868,3.2744831535207486,139471.74530049803,151307.26279618518,149333.54930961932,99947.03432729296,131166.29300108727,133181.87072772573,144188.7249983049,96517.5993462728
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,16.866855812682406,17.57046439702559,11.360495890949773,3.464552179541333,138621.59864405065,150595.36265333416,153323.2120388626,100716.55426380115,130743.23293210648,139600.9119344108,144170.1586578585,96542.53927504928
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,16.980202391896608,17.58141414032638,11.359225400784249,3.478810553063207,138875.06861800273,150515.73867454438,154036.48578013683,100820.6292525764,130736.92720091491,139089.05105461634,144126.62677252677,96564.27231196644
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=4_crit=MSELoss,16.40365957983591,17.624274473806526,11.428436043034951,3.363049144063304,138877.9810168785,151275.16317324198,146470.52484645633,100849.28819749734,131352.8336564111,132134.16136924614,143811.094108247,97244.16222509903
